Номер,Модуль,Проверка,Ожидаемый Результат,Статус
1,Воспроизведение видео и звука,Запуск видео  кнопкой Play,Видео воспроизводится,Passed
2,,Запуск видео клавишей пробел,,Passed
3,,Запуск видео нажатием на экран плеера ,,Passed
4,,Остановка видео кнопкой Play,Воспроизведение видео останавливается,Passed
5,,Остановка видео клавишей пробел,,Passed
6,,Остановка  видео нажатием на экран плеера ,,Passed
7,,Регулировка громкости,"Громкость регулируется в соответствии с положением ползунка. При перемещении ползунка влево скорость уменьшается, вправо - увеличивается. ",Passed
8,,Выключение звука перемещением ползунка,Звук отключен,Passed
9,,Выключение звука нажатием на кнопку Mute,,Passed
10,,Выключение звука нажатием клавиши m,,Passed
11,,Включение звука перемещением ползунка,Звук включен,Passed
12,,Включение звука нажатием на кнопку Mute,,Passed
13,,Включение звука нажатием клавиши m,,Passed
14,Настройки,Скорость воспроизведения  обычная,Видео воспроизводится с обычной скоростью воспроизведения,Passed
15,,Скорость воспроизведения  0.75,"Скорость воспроизведение меняется. Видео воспроизводится медленнее, чем с обычной скоростью воспроизведения",Passed
16,,Скорость воспроизведения  1.25,"Скорость воспроизведение меняется. Видео воспроизводится быстрее, чем с обычной скоростью воспроизведения",Passed
17,,Качество видео: автонастройка,Видео воспроизводится с качеством по умолчанию,Passed
18,,Качество видео: 144p,Видео воспроизводится с качеством  144p. Качество картинки соответствует выбранному параметру.,Passed
19,,Качество видео: 1080p,Видео воспроизводится с качеством  1080p. Качество картинки соответствует выбранному параметру.,Passed
20,,Аннотация,Аннотацию возможно включить для видео с созданной аннотацией.,Passed
21,,Субтитры,Субтитры возможно включить для видео с настроенными субтитрами,Passed
22,Автовоспроизведение ,Автовоспроизведение включено,После окончания видео включается воспроизведение следующего видео,Passed
23,,Автовоспроизведение выключено,После окончания видео не включается воспроизведение следующего видео,Passed
24,Размер экрана,Широкий экран/по умолчанию,"При нажатии на кнопку ""Широкий экран/по умолчанию"" разворачивает на ширину окна браузера/сворачивает до обычного размера плеера",Passed
25,,Мини-проигрыватель,"При нажатии на кнопку ""Мини-проигрыватель"" переходит в режим мини-окна",Passed
26,,Во весь экран,"При нажатии на кнопку ""Во весь экран"" разворачивает на весь экран",Passed
27,,Выход из мини-проигрывателя,"При нажатии на кнопку ""Развернуть"" в верхнем левом углу проигрывателя выходит из  режима мини-проигрываетеля в режим ""по умолчанию""",Passed
28,,Выход из полноэкранного режима,"При нажатии на кнопку ""Во весь экран"" в нижнем углу проигрывателя выходит из  полноэкранного режима в режим ""по умолчанию""",Passed