Номер,Модуль,Проверка,Тестовые данные,Ожидаемый Результат,Статус
1,Воспроизведение видео и звука,Запуск видео  кнопкой Play,,Видео воспроизводится,Passed
2,,Запуск видео клавишей пробел,,,
3,,Запуск видео нажатием на экран плеера ,,,
4,,Остановка видео кнопкой Play,,Воспроизведение видео останавливается,
5,,Остановка видео клавишей пробел,,,
6,,Остановка  видео нажатием на экран плеера ,,,
7,,Регулировка громкости,,"Громкость регулируется в соответствии с положением ползунка. При перемещении ползунка влево скорость уменьшается, справо - увеличивается. ",
8,,Выключение звука перемещением ползунка,,Звук отключен,
9,,Выключение звука нажатием на кнопку Mute,,,
10,,Выключение звука нажатием клавиши m,,,
11,,Включение звука перемещением ползунка,,Звук включен,
12,,Включение звука нажатием на кнопку Mute,,,
13,,Включение звука нажатием клавиши m,,,
14,Настройки,Скорость воспроизведения  обычная,,Видео воспроизводится с обычной скоростью воспроизведения,
15,,Скорость воспроизведения  0.75,,"Скорость воспроизведение меняется. Видео воспроизводится медленнее, чем с обычной скоростью воспроизведения",
16,,Скорость воспроизведения  1.25,,"Скорость воспроизведение меняется. Видео воспроизводится быстрее, чем с обычной скоростью воспроизведения",
17,,Качество видео: автонастройка,,Видео воспроизводится с качеством по умолчанию,
18,,Качество видео: 144p,,Видео воспроизводится с качеством  144p. Качество картинки соответствует выбранному параметру.,
19,,Качество видео: 1080p,,Видео воспроизводится с качеством  1080p. Качество картинки соответствует выбранному параметру.,
20,,Аннотация,,Аннотацию возможно включить для видео с созданной аннотацией.,
21,,Субтитры,,Субтитры возможно включить для видео с настроенными субтитрами,
22,Автовоспроизведение ,Автовоспроизведение включено,,После окончания видео включается воспроизведение следующего видео,
23,,Автовоспроизведение выключено,,После окончания видео не включается воспроизведение следующего видео,
24,Размер экрана,Широкий экран/по умолчанию,,"При нажатии на кнопку ""Широкий экран/по умолчанию"" разворачивает на ширину окна браузера/сворачивает до обычного размера плеера",
25,,Мини-проигрыватель,,"При нажатии на кнопку ""Мини-проигрыватель"" переходит в режим мини-окна",
26,,Во весь экран,,"При нажатии на кнопку ""Во весь экран"" разворачивает на весь экран",
27,,Выход из мини-проигрывателя,,"При нажатии на кнопку ""Развернуть"" в верхнем левом углу проигрывателя выходит из  режима мини-проигрываетеля в режим ""по умолчанию""",
28,,Выход из полноэкранного режима,,"При нажатии на кнопку ""Во весь экран"" в нижнем углу проигрывателя выходит из  полноэкранного режима в режим ""по умолчанию""",